Timestep,function
291000,6.226e-07
292000,4.09682e-07
293000,4.09729e-07
294000,2.1444e-07
295000,8.02083e-07
296000,4.07359e-07
297000,7.95378e-07
298000,5.99492e-07
299000,5.9768e-07
300000,4.00848e-07
301000,5.94724e-07
302000,7.77615e-07
303000,5.92231e-07
304000,3.95575e-07
305000,1.97268e-08
306000,5.81709e-07
307000,3.94653e-07
308000,2.02114e-07
309000,2.01976e-07
310000,5.81761e-07
311000,5.75263e-07
312000,7.88066e-07
313000,1.99506e-07
314000,7.63807e-07
315000,3.82643e-07
316000,1.97247e-07
317000,9.33817e-07
318000,9.24978e-07
319000,2.04471e-07
320000,7.3743e-07
321000,3.83519e-07
322000,9.17196e-07
323000,1.09684e-06
324000,5.51746e-07
325000,7.2585e-07
326000,1.09106e-06
327000,7.19269e-07
328000,5.75653e-07
329000,1.91348e-07
330000,5.63978e-07
331000,7.13124e-07
332000,7.09018e-07
333000,1.06165e-06
334000,5.3418e-07
335000,3.76258e-07
336000,8.7333e-07
337000,5.38604e-07
338000,1.38308e-06
339000,1.81483e-07
340000,8.68664e-07
341000,6.9372e-07
342000,5.26716e-07
343000,3.50527e-07
344000,1.86401e-07
345000,6.85576e-07
346000,6.83484e-07
347000,3.47881e-07
348000,5.12865e-07
349000,8.45339e-07
350000,3.43858e-07
351000,6.80884e-07
352000,5.06723e-07
353000,5.0501e-07
354000,6.66718e-07
355000,5.03979e-07
356000,8.25909e-07
357000,3.37088e-07
358000,3.37297e-07
359000,8.22142e-07
360000,6.57217e-07
361000,6.51559e-07
362000,6.53413e-07
363000,8.06667e-07
364000,1.12368e-06
365000,3.29556e-07
366000,6.4523e-07
367000,6.40276e-07
368000,9.58959e-07
369000,1.70461e-07
370000,1.66304e-07
371000,6.35964e-07
372000,3.217e-07
373000,7.88827e-07
374000,4.75397e-07
375000,7.84047e-07
376000,1.66378e-07
377000,1.49001e-08
378000,3.19978e-07
379000,6.27767e-07
380000,3.16566e-07
381000,1.11771e-08
382000,4.67618e-07
383000,1.06817e-06
384000,3.17672e-07
385000,7.64402e-07
386000,4.67404e-07
387000,3.10843e-07
388000,3.09883e-07
389000,4.59614e-07
390000,7.55307e-07
391000,3.14277e-07
392000,1.10932e-08
393000,4.54183e-07
394000,3.05532e-07
395000,3.05069e-07
396000,3.08751e-07
397000,3.03388e-07
398000,6.02486e-07
399000,3.03044e-07
400000,5.90067e-07
401000,1.53426e-07
402000,2.98661e-07
403000,3.09146e-07
404000,2.9763e-07
405000,7.34682e-07
406000,8.66508e-07
407000,2.97247e-07
408000,2.98355e-07
409000,7.15241e-07
410000,7.23055e-07
411000,4.35519e-07
412000,9.96913e-09
413000,4.33298e-07
414000,7.11673e-07
415000,1.5115e-07
416000,7.07321e-07
417000,2.88522e-07
418000,1.49692e-07
419000,5.62833e-07
420000,1.48717e-07
421000,4.23099e-07
422000,4.21807e-07
423000,5.55916e-07
424000,2.85646e-07
425000,2.82145e-07
426000,6.93414e-07
427000,9.65154e-07
428000,5.53085e-07
429000,4.15882e-07
430000,4.15732e-07
431000,4.14758e-07
432000,8.17397e-07
433000,4.17028e-07
434000,5.46227e-07
435000,2.77109e-07
436000,4.10264e-07
437000,5.41631e-07
438000,2.82073e-07
439000,5.38436e-07
440000,4.09087e-07
441000,1.4125e-07
442000,7.98602e-07
443000,4.01594e-07
444000,6.5984e-07
445000,4.0235e-07
446000,3.99009e-07
447000,2.75867e-07
448000,5.28272e-07
449000,1.42655e-07
450000,3.99129e-07
451000,2.68361e-07
452000,4.03504e-07
453000,7.74073e-07
454000,1.49796e-07
455000,6.4841e-07
456000,4.01154e-07
457000,3.88827e-07
458000,8.94402e-07
459000,1.41115e-07
460000,3.87319e-07
461000,2.293e-08
462000,3.84189e-07
463000,6.41261e-07
464000,3.86151e-07
465000,1.34798e-07
466000,6.37965e-07
467000,9.56229e-09
468000,5.19989e-07
469000,3.81212e-07
470000,2.65231e-07
471000,7.47572e-07
472000,6.23315e-07
473000,8.68722e-07
474000,3.76256e-07
475000,2.5763e-07
476000,2.52809e-07
477000,1.338e-07
478000,9.72916e-09
479000,3.72952e-07
480000,2.51621e-07
481000,6.13427e-07
482000,1.32937e-07
483000,4.89402e-07
484000,8.47406e-07
485000,6.0453e-07
486000,1.28796e-07
487000,2.45994e-07
488000,3.66476e-07
489000,4.82081e-07
490000,1.31432e-07
491000,1.26184e-07
492000,5.97375e-07
493000,2.46544e-07
494000,9.50073e-07
495000,2.45516e-07
496000,4.77582e-07
497000,3.60522e-07
498000,2.4322e-07
499000,2.43948e-07
500000,2.42481e-07
501000,3.57728e-07
502000,4.70927e-07
503000,5.87002e-07
504000,5.84727e-07
505000,8.12975e-07
506000,1.23863e-07
507000,3.52019e-07
508000,3.52208e-07
509000,3.51981e-07
510000,3.47827e-07
511000,5.79008e-07
512000,2.36684e-07
513000,2.36964e-07
514000,3.46441e-07
515000,2.33358e-07
516000,1.11064e-08
517000,3.4525e-07
518000,2.3362e-07
519000,2.32739e-07
520000,5.68623e-07
