97.5876 101.806

2.9664 -0.031 1 1 1
3.73536 0.617741 0.637555 1 1

1.31046 1.04605 1 2 2
0.512032 1.60683 0.637555 2 2

2.9897 2.02699 1 1 3
3.69559 2.65463 0.637555 1 3

1.32843 3.03931 1 3 4
0.575812 3.69708 0.637555 3 4

3.03931 4.1249 1 1 5
3.8235 4.69691 0.637555 1 5

1.27939 5.08106 1 2 6
0.523132 5.66461 0.637555 2 6

2.9717 6.05931 1 1 7
3.75598 6.63835 0.637555 1 7

1.26875 7.12046 1 2 8
0.503412 7.73253 0.637555 2 8

2.93465 8.151 1 1 9
3.68181 8.78755 0.637555 1 9

1.23722 9.14839 1 2 10
0.493032 9.79108 0.637555 2 10

2.90983 10.2375 1 1 11
3.70396 10.7969 0.637555 1 11

1.23366 11.2447 1 2 12
0.452022 11.8559 0.637555 2 12

2.94933 12.2412 1 1 13
3.73382 12.8114 0.637555 1 13

1.24075 13.3372 1 2 14
0.483162 13.9159 0.637555 2 14

2.93891 14.2698 1 1 15
3.73559 14.8321 0.637555 1 15

1.27343 15.3327 1 2 16
0.479802 15.9411 0.637555 2 16

2.89998 16.2772 1 1 17
3.70511 16.8569 0.637555 1 17

1.23235 17.3305 1 2 18
0.469142 17.9421 0.637555 2 18

2.92386 18.3336 1 1 19
3.662 18.9335 0.637555 1 19

1.27223 19.358 1 2 20
0.499782 19.9852 0.637555 2 20

2.91799 20.3675 1 1 21
3.71091 20.9454 0.637555 1 21

1.22537 21.4284 1 2 22
0.497082 22.0575 0.637555 2 22

2.94927 22.4345 1 1 23
3.72424 23.0485 0.637555 1 23

1.33166 23.4373 1 2 24
0.528512 24.0582 0.637555 2 24

2.97614 24.4823 1 1 25
3.7419 25.1106 0.637555 1 25

1.26499 25.4488 1 2 26
0.500362 26.0312 0.637555 2 26

2.94176 26.5204 1 1 27
3.70925 27.135 0.637555 1 27

1.2547 27.4966 1 2 28
0.512282 28.1333 0.637555 2 28

2.97327 28.5763 1 4 29
3.69363 29.2673 0.637555 4 29

1.24472 29.5274 1 2 30
